,homeTeam,awayTeam,finalHomeScore,finalAwayScore,solHomePred,solAwayPred,solPoints,philHomePred,philAwayPred,philPoints,jonnyHomePred,jonnyAwayPred,jonnyPoints,lilaHomePred,lilaAwayPred,lilaPoints,jacobHomePred,jacobAwayPred,jacobPoints,samHomePred,samAwayPred,samPoints,weekNum,solBanker,solInsurance,philBanker,philInsurance,jonnyBanker,jonnyInsurance,samBanker,samInsurance,jacobBanker,jacobInsurance,lilaBanker,lilaInsurance
dd82b17f-be03-4369-9168-4c0b4aaec006,Liverpool,Norwich City,4,1,3,0,15,3,0,15,3,1,20,3,1,20,3,0,30,3,1,20,1,False,False,False,False,True,False,True,False,True,False,True,False
af579519-820e-42bf-b9bd-752d81172b97,West Ham,Man City,0,5,0,2,10,1,3,10,0,1,10,1,3,10,1,2,10,1,2,10,1,False,False,False,False,False,False,False,False,False,False,False,False
c7990da0-bf6e-429f-9ff0-ce750ca4e593,Bournemouth,Sheffield United,1,1,1,0,-10,2,2,20,1,1,30,2,0,-10,2,1,-10,2,1,-10,1,False,False,False,False,False,False,False,False,False,False,False,False
ee1899e6-aa01-4006-8f12-a214952bb4c5,Burnley,Southampton,3,0,1,1,-10,2,1,10,2,1,10,2,2,-10,1,1,-10,2,0,10,1,False,False,False,False,False,False,False,False,False,False,False,False
72d8add9-c295-4c6a-8302-3659cb2de0b0,Crystal Pal,Everton,0,0,1,1,20,0,0,30,1,1,20,1,1,20,1,2,-10,0,0,30,1,False,False,False,False,False,False,False,False,False,False,False,False
6f187fce-bec7-43df-882c-2727be2285f0,Watford,Brighton,0,3,1,0,-10,1,0,-10,2,1,-10,2,1,-10,2,0,-10,1,0,-10,1,False,False,False,False,False,False,False,False,False,False,False,False
cbf75638-f97d-42ce-9b99-d94012f8060d,Tottenham,Aston Villa,3,1,2,0,15,2,0,15,2,0,15,2,1,10,2,0,15,1,0,10,1,False,False,False,False,False,False,False,False,False,False,False,False
0e34976d-ac52-4a91-8aaf-17081d41fe2a,Leicester,Wolves,0,0,0,0,30,1,1,20,2,2,20,1,2,-10,1,1,20,1,2,-10,1,False,False,False,False,False,False,False,False,False,False,False,False
534660b9-5ebc-48bc-a063-28fa1cb48516,Newcastle,Arsenal,0,1,0,3,30,0,2,30,1,2,15,1,2,15,1,2,15,1,2,15,1,True,False,True,False,False,False,False,False,False,False,False,True
16262ae8-f4f2-48f6-9b94-b7c061886828,Man Utd,Chelsea,4,0,1,2,0,2,0,10,2,1,10,1,1,-10,1,1,0,1,2,0,1,False,True,False,True,False,True,False,True,False,True,False,False
cb803cd6-2123-4e96-9105-adcd5b2ed193,Arsenal,Burnley,2,1,3,0,20,2,0,20,3,1,20,2,0,10,2,0,10,3,0,10,2,True,False,True,False,True,False,False,False,False,False,False,True
fae8704d-3d85-48fa-8889-9fb6b9c94e6c,Aston Villa,Bournemouth,1,2,1,1,-10,1,1,-10,1,1,-10,1,1,-10,1,1,-10,1,1,-10,2,False,False,False,False,False,False,False,False,False,False,False,False
74420d6c-8691-4173-88ea-1898f18dd8bb,Brighton,West Ham,1,1,0,0,20,2,1,-10,2,1,-10,2,1,-10,2,1,-10,1,0,-10,2,False,False,False,False,False,False,False,False,False,False,False,False
fa13bb75-29cd-4a2f-8316-acc1f9b8dc01,Everton,Watford,1,0,1,0,30,3,1,10,1,0,30,2,0,10,2,0,10,1,1,-10,2,False,False,False,False,False,False,False,False,False,False,False,False
0e0fffc0-6c5c-4877-988b-84a1200f3ab7,Norwich City,Newcastle,3,1,1,1,-10,1,0,10,1,1,-10,1,1,-10,1,0,10,1,1,-10,2,False,False,False,False,False,False,False,False,False,True,False,False
7a8c0094-df10-4edd-8edc-b045211503e4,Southampton,Liverpool,1,2,0,3,10,1,2,30,0,3,10,1,3,10,0,2,10,1,4,20,2,False,False,False,False,False,False,True,False,False,False,False,False
a2f082ab-75f7-4a2c-be2c-ddc69454fc3b,Man City,Tottenham,2,2,3,1,-10,2,1,-10,2,1,0,3,2,-20,1,0,-20,3,2,0,2,False,False,False,False,False,True,False,True,True,False,True,False
8a2767d3-6a2a-44a0-9656-2a205ccd250c,Sheffield United,Crystal Pal,1,0,1,0,30,2,2,0,1,1,-10,0,1,-10,0,1,-10,1,0,30,2,False,False,False,True,False,False,False,False,False,False,False,False
92d0432e-f638-4838-b04c-8e11a7d872f6,Chelsea,Leicester,1,1,2,1,0,2,1,-10,2,1,-10,2,1,-10,1,0,-10,2,0,-10,2,False,True,False,False,False,False,False,False,False,False,False,False
00b15296-84ba-489b-ab82-b21343e08aa1,Wolves,Man Utd,1,1,1,1,30,1,2,-10,1,2,-10,2,2,20,1,2,-10,1,1,30,2,False,False,False,False,False,False,False,False,False,False,False,False
2ab35440-6388-4b51-bf3c-895243a04b3f,Aston Villa,Everton,2,0,1,2,-10,1,2,0,1,2,-10,0,1,-10,1,2,-10,1,2,-10,3,False,False,False,True,False,False,False,False,False,False,False,False
2dff7f6f-e3c1-49e9-9fcf-2d6ff8232ff4,Norwich City,Chelsea,2,3,0,3,10,1,1,-10,1,1,-10,1,2,15,0,1,15,0,1,15,3,False,False,False,False,False,False,False,False,False,False,False,False
1309b098-5945-4476-98a9-d2b588ff9f73,Brighton,Southampton,0,2,1,0,-10,1,1,-10,2,1,-10,2,1,0,1,0,0,3,0,-10,3,False,False,False,False,False,False,False,False,False,True,False,True
7161dc9d-f798-46d7-a180-5c72aaac49d0,Man Utd,Crystal Pal,1,2,3,1,-10,3,0,-10,2,1,-10,2,0,-10,2,1,-20,2,1,-10,3,False,False,False,False,False,False,False,False,True,False,False,False
359c3801-1e81-4cd4-826a-a6e42b9430d3,Sheffield United,Leicester,1,2,0,0,-10,1,1,-10,1,2,30,0,0,-10,0,1,15,1,0,-10,3,False,False,False,False,False,False,False,False,False,False,False,False
f8947e30-846e-4354-9109-c2446ddf5815,Watford,West Ham,1,3,1,1,-10,0,0,-10,1,0,-10,1,1,-10,2,0,-10,2,0,-30,3,False,False,False,False,False,False,True,False,False,False,False,False
2cfd3864-0f81-47c7-b0b7-fce236467c71,Liverpool,Arsenal,3,1,1,2,0,2,2,-10,1,1,0,2,1,10,3,1,30,2,1,10,3,False,True,False,False,False,True,False,False,False,False,False,False
73942552-a58a-46be-bafe-7406a4ba154e,Bournemouth,Man City,1,3,0,2,15,1,3,30,1,2,10,0,3,10,1,2,10,1,4,10,3,False,False,False,False,False,False,False,False,False,False,False,False
7d6b0afe-7376-4034-a306-4a0044c2ef36,Tottenham,Newcastle,0,1,2,0,-30,2,0,-30,3,1,-30,3,0,-30,3,1,-10,1,1,0,3,True,False,True,False,True,False,False,True,False,False,True,False
756fee04-7666-46c4-9481-8889fb9be1c6,Wolves,Burnley,1,1,1,0,-10,1,0,-10,2,1,-10,2,1,-10,2,1,-10,2,0,-10,3,False,False,False,False,False,False,False,False,False,False,False,False
23c84b5c-5e50-47aa-90cf-4a76e9f81125,Southampton,Man Utd,1,1,0,2,-10,1,1,30,1,2,-10,1,2,-10,1,1,30,2,2,20,4,False,False,False,False,False,False,False,True,False,False,False,False
f62ffcf6-4f3b-4397-8063-124b3bf0bc1e,Chelsea,Sheffield United,2,2,2,0,-10,3,1,-10,2,1,-30,2,1,-10,1,0,-10,1,0,-10,4,False,False,False,False,True,False,False,False,False,False,False,False
407a0fd2-2172-4b88-95a7-4c8af9909bf2,Crystal Pal,Aston Villa,1,0,0,0,-10,1,0,30,1,0,30,1,0,30,1,1,-10,0,0,-10,4,False,False,False,False,False,False,False,False,False,False,False,False
9122d1df-1ab7-4353-8c75-efb50bfe7cd3,Leicester,Bournemouth,3,1,2,1,10,2,1,10,2,0,15,0,0,-10,1,0,10,3,1,30,4,False,False,False,False,False,False,False,False,False,False,False,False
2758ad7a-0484-4088-b2a4-d6b650d76a29,Man City,Brighton,4,0,3,0,20,3,0,10,3,0,10,3,0,20,3,1,20,3,1,20,4,True,False,False,False,False,False,True,False,True,False,True,False
f60b97d9-abcf-4131-83fc-0c8e431e0590,Newcastle,Watford,1,1,1,0,-10,1,0,-10,2,1,-10,1,1,30,2,1,-10,2,1,-10,4,False,False,False,False,False,False,False,False,False,False,False,False
7cb48027-83b5-4738-942e-1f900c53a76e,West Ham,Norwich City,2,0,0,1,-10,1,1,-10,1,1,-10,2,1,10,1,1,-10,2,1,10,4,False,False,False,False,False,False,False,False,False,False,False,False
f3952409-1679-443c-a3d7-a1efa500c5c9,Burnley,Liverpool,0,3,1,3,10,1,2,10,1,2,10,1,4,15,0,1,10,0,3,30,4,False,False,False,False,False,False,False,False,False,False,False,False
